option_type;strike;price;implied_vol_quoted
call;1.055;0.0787;
put;1.055;0.00005;
call;1.06;0.0737;
put;1.06;0.00005;
call;1.065;0.0687;
put;1.065;0.00005;
call;1.07;0.0637;
put;1.07;0.00005;
call;1.075;0.0587;
put;1.075;0.00005;
call;1.08;0.0537;
put;1.08;0.00005;
call;1.085;0.0487;
put;1.085;0.00005;
call;1.09;0.0438;
put;1.09;0.00005;
call;1.095;0.0388;
put;1.095;0.0001;
call;1.1;0.0339;
put;1.1;0.0002;
call;1.1025;0.0315;
put;1.1025;0.00025;
call;1.105;0.0291;
put;1.105;0.00035;
call;1.1075;0.0267;
put;1.1075;0.00045;
call;1.11;0.0243;
put;1.11;0.0006;
call;1.1125;0.022;
put;1.1125;0.0008;
call;1.115;0.0198;
put;1.115;0.0011;
call;1.1175;0.0176;
put;1.1175;0.0014;
call;1.12;0.0156;
put;1.12;0.0019;
call;1.1225;0.0136;
put;1.1225;0.0024;
call;1.125;0.0117;
put;1.125;0.003;
call;1.1275;0.01;
put;1.1275;0.0038;
call;1.13;0.0085;
put;1.13;0.0048;
call;1.1325;0.0071;
put;1.1325;0.0059;
call;1.135;0.0058;
put;1.135;0.0071;
call;1.1375;0.0048;
put;1.1375;0.0086;
call;1.14;0.0038;
put;1.14;0.0101;
call;1.1425;0.0031;
put;1.1425;0.0119;
call;1.145;0.0025;
put;1.145;0.0138;
call;1.1475;0.002;
put;1.1475;0.0158;
call;1.15;0.0016;
put;1.15;0.0179;
call;1.1525;0.0013;
put;1.1525;0.0201;
call;1.155;0.001;
put;1.155;0.0223;
call;1.1575;0.0008;
put;1.1575;0.0246;
call;1.16;0.0006;
put;1.16;0.0269;
call;1.1625;0.0005;
put;1.1625;0.0293;
call;1.165;0.0004;
put;1.165;0.0317;
call;1.1675;0.00035;
put;1.1675;0.0341;
call;1.17;0.00025;
put;1.17;0.0366;
call;1.1725;0.0002;
put;1.1725;0.039;
call;1.175;0.00015;
put;1.175;0.0415;
call;1.1775;0.00015;
put;1.1775;0.0439;
call;1.18;0.0001;
put;1.18;0.0464;
call;1.1825;0.0001;
put;1.1825;0.0489;
call;1.185;0.0001;
put;1.185;0.0514;
call;1.19;0.00005;
put;1.19;0.0563;
call;1.195;0.00005;
put;1.195;0.0613;
call;1.2;0.00005;
put;1.2;0.0663;
call;1.205;0.00005;
put;1.205;0.0713;
call;1.21;0.00005;
put;1.21;0.0763;
call;1.215;0.00005;
put;1.215;0.0813;
call;1.22;0.00005;
put;1.22;0.0863;
call;1.225;0.00005;
put;1.225;0.0913;
call;1.23;0.00005;
put;1.23;0.0963;
call;1.235;0.00005;
put;1.235;0.1013;
